gene_2019,gene_3319,gene_4846,gene_5771,gene_1744,gene_1833,gene_2287,gene_5038,label
627,1122,178,2037,164,168,-323,465,0
503,1016,105,1497,797,244,-524,639,0
1565,64,92,2105,265,154,-124,450,0
767,1141,399,2805,313,287,203,342,0
927,769,805,6996,178,222,-140,535,0
894,1390,-428,2753,390,390,-190,396,0
181,428,252,4240,491,73,-111,203,0
1165,646,-52,3821,223,88,-120,389,0
441,188,-152,3686,252,128,-38,244,0
309,470,-61,2943,87,117,-31,466,0
385,591,28,2809,173,37,-83,180,0
360,682,43,2178,426,111,-321,86,0
310,931,509,306,190,130,-28,396,0
665,1029,417,1374,406,230,-21,754,0
859,1049,1931,8402,462,74,115,648,0
623,1496,395,5032,505,252,16,391,0
654,993,2451,1358,1448,247,149,501,0
781,861,878,1188,217,159,-77,244,0
669,973,162,2075,185,252,-2,244,0
261,571,373,4961,147,122,-33,101,0
801,541,2007,407,1744,1533,7213,442,0
1534,3568,3870,2585,1522,769,19568,4460,0
1339,2335,2335,376,2089,593,9851,683,0
1895,2442,5814,1238,2735,928,6595,729,0
1811,1083,4403,2685,855,629,4366,458,0
1147,721,2287,2295,444,827,10120,318,0
1656,2392,2871,562,1020,646,5903,333,0
880,723,2122,2564,385,336,3717,391,1
1263,1023,3186,934,489,526,2130,485,1
610,2349,2194,427,716,560,4667,323,1
749,775,543,834,460,341,-189,410,1
1476,2502,5949,537,2686,1883,7924,656,1
3220,3190,4174,3201,1499,2204,2705,1152,1
1295,1030,7133,417,1837,1605,5249,676,1
