U22376_cds2_s_at,M92287_at,X59417_at,Z69881_at,M77142_at,U09087_s_at,M91432_at,X74262_at,AF009426_at,M31211_s_at,HG1612-HT1612_at,U20998_at,M31303_rna1_at,L49229_f_at,S50223_at,L47738_at,U90546_r_at,L13278_at,D87078_at,U49395_at,D63880_at,L42572_at,U83115_at,U35451_at,M13792_at,M55150_at,X95735_at,U46499_at,U50136_rna1_at,M16038_at,X85116_rna1_s_at,M84526_at,U57094_at,M69043_at,U59877_s_at,U46751_at,M80254_at,Y00787_s_at,M23197_at,D49950_at,M28130_rna1_s_at,Y00433_at,M27891_at,M11147_at,U82759_at,S82470_at,X17042_at,M14636_at,L09209_s_at,M96326_rna1_at,cancer,patient
3105,4778,3016,1766,296,358,767,1372,36,601,3767,1753,3828,337,268,571,327,193,619,752,556,472,1381,408,3221,654,298,44,1124,365,162,-283,180,1489,-958,1298,-88,333,261,75,292,7546,303,5418,393,958,177,-44,1284,782,ALL,1
1118,2700,3424,2015,164,82,814,1184,58,435,2890,1602,3021,131,346,2893,58,31,242,1456,476,388,1567,633,10954,1283,307,146,1062,624,169,-65,206,6084,-429,1379,109,5345,101,129,2062,9601,1358,17348,118,926,3460,52,540,368,ALL,2
4543,4926,7724,3556,317,263,1547,2221,63,547,5996,2761,7247,529,804,2723,301,198,760,2239,498,451,1421,912,16529,1286,309,110,1398,108,-18,-395,106,2281,-645,1496,-53,301,309,44,-25,2918,254,6156,667,812,416,-116,236,1268,ALL,3
3469,3440,5216,1496,243,186,1423,1370,120,661,2206,2298,3563,354,476,649,279,194,787,1542,820,752,956,398,2837,732,713,104,928,686,334,290,295,1094,-237,1894,139,93,395,110,138,10367,-86,9017,119,1447,7972,151,968,949,ALL,5
3309,3179,4194,2606,40,209,430,1306,92,337,3881,1013,4890,327,256,1858,254,96,231,1474,485,359,746,506,16135,691,247,10,842,302,117,-40,145,1513,-663,528,46,215,58,33,23,2263,1168,6221,147,677,597,-14,368,910,ALL,6
3936,3978,5528,473,137,144,764,1339,16,309,3723,898,3330,354,208,280,38,178,772,2362,734,578,1347,357,6067,853,52,105,1066,325,378,-366,21,2866,-623,1747,-77,159,84,115,107,9863,-233,4746,735,951,403,18,344,826,ALL,7
4745,3293,2073,2067,289,167,752,655,169,263,4072,1586,4213,232,310,1716,328,112,788,1503,223,340,2173,134,3103,1238,-215,104,1668,244,571,-656,146,2129,-733,1514,-214,455,251,32,-19,5886,-247,7881,248,967,140,-38,-196,1302,ALL,8
4081,7324,7782,4461,152,385,1777,3593,43,978,7439,2334,7230,568,640,2388,73,198,773,2336,686,675,1852,982,15235,822,-223,103,966,273,-8,-231,195,3862,-663,803,94,445,155,9,104,5919,336,9431,258,1052,848,-46,310,1337,ALL,9
1658,2676,5204,1777,115,146,426,1058,-18,752,4791,878,5052,19,152,913,14,9,142,818,721,294,951,613,8982,885,492,64,1175,144,176,-36,86,1974,-367,1939,45,522,167,54,-35,3387,498,5092,409,1250,1094,16,260,82,ALL,10
2853,6134,6541,2744,102,89,472,953,26,897,4406,2016,3352,7,441,2147,4,36,336,1466,551,358,1031,745,8630,680,-25,93,626,34,139,-152,274,2561,-523,587,40,1278,140,38,189,2128,-376,6027,306,872,1343,-3,210,737,ALL,11
794,1283,1203,172,80,91,323,596,-44,300,2194,824,2176,15,107,449,15,16,231,813,279,199,536,209,2493,1929,2224,208,1641,679,2274,-21,271,13895,-447,7113,373,15202,316,297,10476,11793,1073,16705,822,1959,7858,119,1355,548,AML,28
1312,1525,1561,371,21,58,125,309,-21,237,460,1174,1486,17,150,65,-7,-17,359,338,277,70,323,29,487,1647,3348,1049,2545,1305,2195,6569,362,1908,-119,3717,550,3104,555,190,1653,12352,6962,11012,1137,1218,8859,110,2219,19615,AML,29
485,811,1628,292,44,15,158,313,-33,100,1874,440,730,60,-1,172,-34,-16,-53,807,136,264,526,160,769,2112,6218,1304,3818,2694,478,7372,480,11990,183,11618,425,6506,1130,326,2971,15961,14555,18372,1050,1862,11003,367,4607,9994,AML,30
408,1032,1784,248,47,61,295,275,-41,192,767,651,3719,56,31,239,-71,60,-176,634,321,294,778,223,1614,1555,1548,2087,2943,1028,983,4833,289,9866,193,1262,82,2096,1338,197,688,17124,7238,12276,1157,2925,5849,130,1017,7791,AML,31
1047,1024,1214,618,63,50,368,311,9,339,2856,660,1985,88,210,683,7,34,48,971,283,264,850,293,4148,1514,3297,167,2535,2680,1017,141,219,10899,-31,3088,619,12715,774,259,7108,13059,12339,19173,1083,3869,3259,303,2212,976,AML,32
335,1827,1583,-203,63,0,110,19,-107,59,2205,580,1528,-48,-94,153,-104,-44,120,902,151,169,778,73,1446,2693,3482,1689,1373,3223,1999,2000,492,14090,-323,5749,864,21147,443,100,13176,9895,3654,21498,1099,2442,8855,339,4198,4108,AML,33
1126,498,782,784,27,34,263,279,-105,153,624,407,1647,-29,56,12,-26,6,65,638,226,240,581,208,911,1811,2947,2139,2402,1674,727,4830,449,13338,-120,4719,59,8054,1450,355,3693,10227,1537,12406,652,2775,8518,305,1192,13464,AML,34
473,1309,1648,118,45,74,87,194,-43,88,1031,697,1885,-16,-73,8,-22,22,204,633,410,268,812,214,1297,1707,4863,2046,3965,2727,1096,4573,491,21135,-39,5868,692,17022,970,283,11517,15609,17863,24521,618,1282,10603,220,5814,7955,AML,36
186,852,528,43,34,52,183,130,-45,139,1687,786,1359,93,-53,-80,-139,-32,-254,497,185,286,811,149,753,2072,2612,753,2539,2399,3397,6759,384,12115,-282,6903,672,19361,408,311,12979,15261,13296,21277,805,1036,8479,67,2930,9933,AML,37
680,1484,99,214,68,33,111,51,-42,75,1367,845,1291,-37,62,201,-83,-16,-89,813,118,158,669,195,2708,1753,1671,577,2286,784,4465,1569,369,5902,-365,7061,307,10043,275,70,5072,12468,1661,20124,673,1653,1285,-13,1060,2676,AML,38
