U22376_cds2_s_at,X59417_at,U05259_rna1_at,M92287_at,X74262_at,L13278_at,M31211_s_at,U09087_s_at,U29175_at,U32944_at,L47738_at,M28170_at,Z15115_at,X52142_at,X15949_at,AF009426_at,S50223_at,M91432_at,X62153_s_at,X63469_at,U20998_at,Z69881_at,J05243_at,L49229_f_at,M31303_rna1_at,M55150_at,U50136_rna1_at,X95735_at,M16038_at,M23197_at,M84526_at,U82759_at,D49950_at,M27891_at,X17042_at,U12471_cds1_at,U46751_at,Y00787_s_at,L08246_at,M80254_at,M62762_at,M81933_at,M96326_rna1_at,M28130_rna1_s_at,M63138_at,M11147_at,M57710_at,M81695_s_at,X85116_rna1_s_at,X04085_rna1_at,cancer,patient
1312,1561,412,1525,309,-17,237,58,624,179,65,35,967,-23,35,-21,150,125,294,178,1174,371,237,17,1486,1647,2545,3348,1305,555,6569,1137,190,6962,8859,217,3717,3104,1766,550,1736,243,19615,1653,2558,11012,5824,478,2195,6000,AML,29
1872,3878,5070,1689,489,14,481,81,738,1081,223,391,2242,-46,163,-35,301,363,521,162,498,892,295,77,2910,842,1171,700,50,203,-203,267,9,-229,3711,144,1395,9270,635,13,933,113,502,4271,1371,13278,560,439,559,747,ALL,25
551,846,2504,2056,209,-22,334,37,329,277,140,84,1277,-87,-2,-81,90,76,314,43,426,291,169,-27,2290,412,747,408,399,287,41,15,7,107,5252,104,1347,3684,2095,267,1030,44,1296,1855,1763,15280,988,494,530,294,ALL,12
3105,3016,9326,4778,1372,193,601,358,1595,3349,571,397,8444,107,277,36,268,767,994,460,1753,1766,610,337,3828,654,1124,298,365,261,-283,393,75,303,177,160,1298,333,543,-88,835,-240,782,292,1410,5418,-115,695,162,1057,ALL,1
3309,4194,282,3179,1306,96,337,209,1584,316,1858,74,1790,26,46,92,256,430,1258,181,1013,2606,1682,327,4890,691,842,247,302,58,-40,147,33,1168,597,81,528,215,375,46,499,56,910,23,1854,6221,108,711,117,537,ALL,6
1118,3424,895,2700,1184,31,435,82,822,1002,2893,-39,1920,-114,104,58,346,814,539,151,1602,2015,927,131,3021,1283,1062,307,624,101,-65,118,129,1358,3460,134,1379,5345,2972,109,3072,-11,368,2062,2325,17348,2171,812,169,1395,ALL,2
5467,3821,5314,5403,1051,91,472,218,654,1625,731,363,4261,190,403,38,452,831,680,314,1486,828,425,422,3780,915,942,693,873,288,-367,410,218,-304,392,104,1401,241,740,-111,935,167,882,-2,1132,7070,22,599,199,1655,ALL,4
3085,2443,870,3796,862,85,376,334,1992,146,813,53,1601,142,-36,-87,493,321,767,172,1122,1962,397,93,4677,803,731,-108,9,108,-275,366,43,425,178,74,585,146,596,30,672,22,1177,148,1297,3729,-85,613,417,431,ALL,23
4081,7782,423,7324,3593,198,978,385,1297,2286,2388,24,3303,240,210,43,640,1777,1974,362,2334,4461,2760,568,7230,822,966,-223,273,155,-231,258,9,336,848,131,803,445,783,94,1741,124,1337,104,2900,9431,103,746,-8,633,ALL,9
1658,5204,585,2676,1058,9,752,146,971,934,913,-54,1329,96,97,-18,152,426,664,47,878,1777,1722,19,5052,885,1175,492,144,167,-36,409,54,498,1094,264,1939,522,1288,45,1188,89,82,-35,1855,5092,252,513,176,463,ALL,10
1178,1273,3339,1316,882,32,516,119,764,820,669,195,1616,-10,515,-5,-65,954,762,472,954,111,252,5,2143,738,883,390,540,141,-76,102,99,22,1232,157,2111,136,1198,10,542,89,-144,41,711,9783,944,666,203,220,ALL,18
335,1583,19,1827,19,-44,59,0,736,133,153,18,936,-212,33,-107,-94,110,256,63,580,-203,-44,-48,1528,2693,1373,3482,3223,443,2000,1099,100,3654,8855,304,5749,21147,4126,864,1871,282,4108,13176,2771,21498,6704,1690,1999,3072,AML,33
186,528,218,852,130,-32,139,52,697,224,-80,-21,802,-84,14,-45,-53,183,267,4,786,43,87,93,1359,2072,2539,2612,2399,408,6759,805,311,13296,8479,417,6903,19361,5503,672,3808,330,9933,12979,7125,21277,6247,2683,3397,2887,AML,37
4326,6084,3649,3345,1625,240,666,106,2065,3110,904,360,5617,260,393,171,235,869,675,467,2523,3847,1034,190,3207,707,825,848,289,202,-102,67,28,36,1232,182,944,38,623,18,593,120,478,73,1910,3720,-48,426,540,1143,ALL,16
3469,5216,5354,3440,1370,194,661,186,1011,3502,649,251,3425,361,416,120,476,1423,950,632,2298,1496,529,354,3563,732,928,713,686,395,290,119,110,-86,7972,145,1894,93,2453,139,1665,114,949,138,1269,9017,244,282,334,2000,ALL,5
1126,782,711,498,279,6,153,34,302,427,12,-11,2271,-75,35,-105,56,263,238,181,407,784,206,-29,1647,1811,2402,2947,1674,1450,4830,652,355,1537,8518,293,4719,8054,3127,59,3236,179,13464,3693,5587,12406,394,1702,727,5878,AML,34
1534,1756,155,1912,2050,188,265,179,1011,1613,1483,155,3382,159,307,89,570,606,1062,442,2263,1706,859,290,2346,1157,864,360,589,145,-140,188,72,820,2525,135,1784,94,742,136,892,77,838,9,2337,13077,389,1030,452,662,ALL,14
880,490,654,165,336,-7,19,48,201,288,218,67,1082,-2,79,-67,168,226,382,74,529,406,-16,38,2195,1406,2137,1050,735,781,-312,262,295,1481,3628,322,1106,216,853,72,1125,214,1233,-45,3909,7855,72,1137,1639,2140,AML,35
680,99,251,1484,51,-16,75,33,721,230,201,-18,939,-263,64,-42,62,111,342,-25,845,214,71,-37,1291,1753,2286,1671,784,275,1569,673,70,1661,1285,271,7061,10043,2083,307,3594,407,2676,5072,2275,20124,6530,974,4465,4681,AML,38
4543,7724,628,4926,2221,198,547,263,1452,2089,2723,183,3118,-13,91,63,804,1547,1441,230,2761,3556,1697,529,7247,1286,1398,309,108,309,-395,667,44,254,416,167,1496,301,485,-53,609,124,1268,-25,2789,6156,-26,810,-18,823,ALL,3
4836,699,5397,3253,176,7,143,30,1323,108,857,95,2572,14,48,-23,241,70,141,104,1000,1628,304,184,2131,686,825,122,239,124,-243,160,74,-102,354,126,1739,206,791,-23,1977,111,678,155,949,6074,88,401,177,350,ALL,22
3265,3262,8219,5204,716,6,647,109,2143,1480,759,495,3074,105,169,2,101,636,700,348,753,2452,1122,-17,2648,514,805,433,268,128,-53,59,117,66,1750,98,1437,183,827,19,1114,52,29,29,1330,4718,43,416,342,773,ALL,26
408,1784,272,1032,275,60,192,61,432,469,239,-5,1568,-10,23,-41,31,295,309,115,651,248,57,56,3719,1555,2943,1548,1028,1338,4833,1157,197,7238,5849,283,1262,2096,2056,82,3255,132,7791,688,4630,12276,499,754,983,7260,AML,31
4746,7743,5075,10669,1624,170,668,283,1593,2069,556,87,6216,269,588,123,545,920,1991,495,2151,3578,719,207,4751,548,706,724,281,152,-104,87,103,-97,2408,150,1489,116,1405,70,1482,192,160,3,786,6183,-42,315,182,1220,ALL,13
1047,1214,306,1024,311,34,339,50,706,328,683,-49,1843,-36,59,9,210,368,259,136,660,618,628,88,1985,1514,2535,3297,2680,774,141,1083,259,12339,3259,264,3088,12715,4136,619,4249,230,976,7108,7373,19173,1853,978,1017,2027,AML,32
7155,2455,218,2360,3139,254,374,335,1778,2591,643,-217,3714,214,822,53,352,2031,1731,485,3297,8578,447,214,6633,1822,1837,926,534,286,-158,-226,117,375,1150,227,1888,282,1016,184,2376,98,7,17,4215,12676,-83,588,1263,2474,ALL,17
